score_decile,gap_crude,n_discount,n_no_offer
1,0.065442927911571,2139,2105
2,0.05546233280238953,2109,2171
3,0.060751498832598935,2186,2089
4,0.08170080928820894,2083,2161
5,0.07479803874564606,2103,2178
6,0.08103359796608757,2113,2134
7,0.08543007942590154,2129,2128
8,0.08549068168050458,2110,2128
9,0.07688435678391514,2163,2084
10,0.09533502263947163,2172,2128
