k,silhouette
2,0.28908926248550415
3,0.26530948281288147
4,0.2755846083164215
5,0.27559447288513184
6,0.2634539306163788
7,0.28448405861854553
8,0.28549084067344666
9,0.2980630397796631
10,0.2987877130508423
